age,education,occupation,hours-per-week,gender,salary
51,Some-college,?,18,Female,<=50K
33,Some-college,Adm-clerical,35,Female,<=50K
22,Some-college,Transport-moving,39,Male,<=50K
58,9th,Other-service,40,Female,<=50K
52,HS-grad,Adm-clerical,28,Female,<=50K
36,10th,Machine-op-inspct,40,Female,<=50K
41,HS-grad,Protective-serv,40,Male,<=50K
28,HS-grad,Transport-moving,40,Male,<=50K
19,Some-college,Handlers-cleaners,16,Male,<=50K
18,HS-grad,Other-service,28,Female,<=50K
18,HS-grad,Machine-op-inspct,48,Female,<=50K
28,Some-college,Craft-repair,40,Male,<=50K
29,Assoc-voc,Exec-managerial,40,Male,>50K
20,HS-grad,?,20,Female,<=50K
40,Some-college,Handlers-cleaners,40,Male,<=50K
26,HS-grad,Handlers-cleaners,40,Male,<=50K
46,HS-grad,Craft-repair,40,Male,<=50K
23,11th,Other-service,24,Female,<=50K
44,HS-grad,Adm-clerical,40,Female,<=50K
43,Bachelors,Sales,40,Female,>50K
31,Bachelors,Prof-specialty,60,Female,<=50K
18,Some-college,Sales,25,Female,<=50K
19,Some-college,Protective-serv,30,Male,<=50K
41,Some-college,Tech-support,40,Female,<=50K
41,HS-grad,Handlers-cleaners,40,Female,<=50K
69,HS-grad,Adm-clerical,25,Female,<=50K
48,Doctorate,Prof-specialty,40,Female,>50K
28,HS-grad,Prof-specialty,40,Male,<=50K
27,HS-grad,Craft-repair,60,Male,>50K
41,Masters,Prof-specialty,50,Male,>50K
41,Some-college,Adm-clerical,40,Male,<=50K
24,HS-grad,Craft-repair,40,Female,<=50K
20,HS-grad,?,40,Female,<=50K
42,Doctorate,Prof-specialty,41,Male,>50K
57,HS-grad,Craft-repair,48,Male,<=50K
30,Assoc-acdm,Prof-specialty,40,Female,<=50K
36,HS-grad,Sales,60,Male,>50K
49,7th-8th,Machine-op-inspct,40,Male,<=50K
33,HS-grad,Machine-op-inspct,35,Female,<=50K
23,10th,Farming-fishing,40,Male,<=50K
46,Masters,Prof-specialty,40,Male,<=50K
18,Some-college,Adm-clerical,22,Female,<=50K
40,HS-grad,Exec-managerial,55,Male,>50K
43,HS-grad,Exec-managerial,45,Male,>50K
34,Masters,Prof-specialty,30,Female,<=50K
47,HS-grad,Exec-managerial,30,Female,<=50K
44,Assoc-voc,Exec-managerial,30,Female,<=50K
33,HS-grad,Sales,40,Male,>50K
55,Bachelors,Exec-managerial,50,Male,>50K
19,HS-grad,Sales,30,Male,<=50K
28,Some-college,Other-service,14,Male,<=50K
27,11th,Other-service,32,Female,<=50K
50,7th-8th,Machine-op-inspct,20,Male,<=50K
22,11th,Craft-repair,40,Male,<=50K
40,Bachelors,Adm-clerical,45,Male,>50K
25,Some-college,Adm-clerical,40,Female,<=50K
26,HS-grad,Craft-repair,40,Male,<=50K
22,Bachelors,Sales,25,Male,<=50K
42,Some-college,Handlers-cleaners,40,Female,<=50K
38,Bachelors,Exec-managerial,40,Male,<=50K
55,11th,Other-service,30,Male,<=50K
32,HS-grad,Sales,40,Male,<=50K
22,HS-grad,Craft-repair,45,Male,<=50K
29,Bachelors,Sales,40,Male,<=50K
46,Masters,Exec-managerial,45,Male,>50K
31,Some-college,Exec-managerial,40,Male,>50K
58,Doctorate,Prof-specialty,16,Male,>50K
42,HS-grad,Craft-repair,45,Male,<=50K
18,HS-grad,Handlers-cleaners,25,Male,<=50K
58,HS-grad,Exec-managerial,33,Male,<=50K
54,HS-grad,Prof-specialty,40,Male,>50K
34,Masters,Prof-specialty,40,Male,<=50K
26,Bachelors,Adm-clerical,40,Female,<=50K
61,12th,Exec-managerial,60,Male,<=50K
48,Masters,Adm-clerical,40,Female,<=50K
36,Some-college,Exec-managerial,45,Male,>50K
24,Assoc-voc,Machine-op-inspct,45,Male,<=50K
40,Some-college,Machine-op-inspct,37,Male,<=50K
33,HS-grad,Sales,50,Male,>50K
37,Some-college,Machine-op-inspct,40,Male,>50K
34,Masters,Exec-managerial,40,Male,<=50K
56,Some-college,Exec-managerial,40,Male,>50K
28,HS-grad,?,38,Female,>50K
37,Bachelors,Exec-managerial,55,Female,<=50K
44,HS-grad,Sales,40,Female,<=50K
64,Some-college,?,8,Male,<=50K
54,HS-grad,Handlers-cleaners,45,Male,<=50K
23,HS-grad,Machine-op-inspct,50,Male,<=50K
34,Bachelors,Farming-fishing,40,Male,<=50K
22,HS-grad,Other-service,45,Female,<=50K
33,Bachelors,Exec-managerial,40,Male,>50K
39,Bachelors,Prof-specialty,50,Male,>50K
47,Some-college,Adm-clerical,37,Female,<=50K
79,7th-8th,?,40,Male,<=50K
26,HS-grad,Prof-specialty,55,Female,<=50K
31,Some-college,Exec-managerial,40,Female,<=50K
44,Some-college,Transport-moving,45,Male,<=50K
42,Prof-school,Prof-specialty,50,Female,>50K
19,HS-grad,Machine-op-inspct,40,Female,<=50K
27,HS-grad,Handlers-cleaners,40,Male,>50K
51,Some-college,Protective-serv,40,Male,>50K
28,Bachelors,Exec-managerial,50,Male,<=50K
57,Bachelors,Craft-repair,45,Male,<=50K
45,Bachelors,Prof-specialty,40,Female,<=50K
50,Assoc-voc,Prof-specialty,40,Male,>50K
34,Bachelors,Sales,54,Male,<=50K
45,7th-8th,Craft-repair,40,Male,<=50K
73,HS-grad,Exec-managerial,20,Male,<=50K
34,Bachelors,Prof-specialty,50,Female,>50K
31,Some-college,Sales,55,Male,>50K
19,11th,Sales,12,Male,<=50K
25,Some-college,Other-service,50,Female,<=50K
38,Assoc-voc,Craft-repair,40,Female,<=50K
39,Bachelors,Transport-moving,40,Male,<=50K
23,Bachelors,Tech-support,32,Female,<=50K
49,HS-grad,Machine-op-inspct,40,Male,<=50K
33,HS-grad,Other-service,32,Male,<=50K
21,5th-6th,Machine-op-inspct,38,Male,<=50K
31,Assoc-voc,Craft-repair,40,Male,<=50K
23,Bachelors,Exec-managerial,45,Female,<=50K
34,Bachelors,Adm-clerical,40,Male,<=50K
25,HS-grad,Machine-op-inspct,40,Female,<=50K
39,HS-grad,Craft-repair,40,Male,<=50K
52,HS-grad,Sales,40,Male,>50K
63,9th,Transport-moving,40,Male,>50K
41,Some-college,Craft-repair,40,Male,<=50K
46,Bachelors,Prof-specialty,38,Male,>50K
53,HS-grad,Exec-managerial,40,Male,<=50K
25,9th,?,40,Female,<=50K
77,Some-college,?,35,Male,<=50K
18,12th,Priv-house-serv,40,Male,<=50K
38,Prof-school,Prof-specialty,50,Male,<=50K
55,Masters,Exec-managerial,50,Female,<=50K
34,HS-grad,Tech-support,40,Male,>50K
80,HS-grad,Other-service,30,Male,<=50K
34,Assoc-voc,Tech-support,60,Female,<=50K
52,Some-college,Tech-support,40,Male,<=50K
42,HS-grad,Other-service,28,Female,<=50K
26,Some-college,Sales,40,Female,<=50K
31,HS-grad,Transport-moving,40,Male,<=50K
25,HS-grad,Other-service,35,Female,<=50K
55,HS-grad,Craft-repair,60,Male,<=50K
19,Some-college,Other-service,12,Female,<=50K
62,Some-college,Transport-moving,32,Male,<=50K
22,Some-college,Adm-clerical,20,Female,<=50K
39,HS-grad,?,50,Female,<=50K
35,HS-grad,Handlers-cleaners,40,Male,<=50K
28,HS-grad,Sales,40,Female,<=50K
47,HS-grad,Transport-moving,70,Male,>50K
44,HS-grad,Machine-op-inspct,40,Male,<=50K
21,Some-college,Sales,15,Male,<=50K
35,Assoc-voc,Craft-repair,50,Male,<=50K
24,Bachelors,Prof-specialty,40,Male,>50K
42,Bachelors,Prof-specialty,40,Male,<=50K
28,Bachelors,Tech-support,50,Male,<=50K
21,Some-college,Machine-op-inspct,35,Male,<=50K
62,Some-college,Tech-support,40,Male,<=50K
39,HS-grad,Other-service,40,Female,<=50K
30,HS-grad,Other-service,40,Male,<=50K
72,Prof-school,Prof-specialty,20,Male,<=50K
50,Some-college,Exec-managerial,50,Female,<=50K
28,Masters,Prof-specialty,40,Male,<=50K
29,Some-college,Prof-specialty,40,Female,<=50K
26,Bachelors,Adm-clerical,40,Female,<=50K
27,Masters,Exec-managerial,40,Female,<=50K
29,Some-college,Handlers-cleaners,40,Male,>50K
61,HS-grad,?,40,Male,<=50K
29,10th,Craft-repair,25,Male,<=50K
21,Some-college,?,30,Female,<=50K
31,11th,Sales,20,Female,<=50K
25,HS-grad,Exec-managerial,75,Male,<=50K
58,10th,Transport-moving,40,Male,>50K
64,Some-college,Exec-managerial,40,Female,>50K
46,Masters,Exec-managerial,38,Male,<=50K
53,HS-grad,?,35,Male,>50K
19,HS-grad,Other-service,35,Female,<=50K
42,HS-grad,Other-service,52,Male,<=50K
18,11th,Handlers-cleaners,24,Male,<=50K
58,Bachelors,Craft-repair,50,Male,>50K
20,Some-college,Protective-serv,60,Male,<=50K
35,HS-grad,Craft-repair,40,Male,>50K
32,HS-grad,Handlers-cleaners,38,Male,>50K
23,HS-grad,Handlers-cleaners,25,Female,<=50K
31,Some-college,Tech-support,40,Female,<=50K
33,Bachelors,Sales,55,Male,<=50K
41,Some-college,Machine-op-inspct,48,Female,<=50K
22,HS-grad,Machine-op-inspct,40,Male,<=50K
46,Some-college,Protective-serv,40,Male,>50K
61,Some-college,Transport-moving,40,Male,<=50K
30,HS-grad,Exec-managerial,40,Male,<=50K
42,HS-grad,Exec-managerial,55,Male,>50K
63,10th,Handlers-cleaners,40,Male,<=50K
26,Some-college,Sales,40,Male,<=50K
42,10th,Adm-clerical,40,Female,<=50K
23,Some-college,Other-service,40,Male,<=50K
25,HS-grad,Machine-op-inspct,40,Male,<=50K
30,9th,Other-service,32,Male,>50K
23,HS-grad,Sales,40,Male,<=50K
34,Assoc-voc,Farming-fishing,60,Male,>50K
30,HS-grad,Machine-op-inspct,48,Male,<=50K
39,Some-college,Craft-repair,40,Male,>50K
30,11th,Handlers-cleaners,38,Male,<=50K
38,Some-college,Adm-clerical,38,Female,<=50K
26,HS-grad,Exec-managerial,40,Female,<=50K
20,Some-college,Handlers-cleaners,16,Male,<=50K
37,Bachelors,Prof-specialty,40,Male,<=50K
33,HS-grad,Adm-clerical,40,Female,<=50K
24,Bachelors,Adm-clerical,40,Male,<=50K
42,Bachelors,Exec-managerial,60,Male,>50K
51,HS-grad,Sales,84,Male,<=50K
56,Assoc-acdm,Tech-support,45,Male,>50K
22,Some-college,Handlers-cleaners,40,Male,<=50K
52,Some-college,Farming-fishing,60,Male,<=50K
44,Bachelors,Exec-managerial,45,Female,>50K
34,HS-grad,Adm-clerical,35,Female,<=50K
51,Some-college,Craft-repair,42,Male,>50K
20,Some-college,?,40,Male,<=50K
19,Some-college,Sales,25,Female,<=50K
37,Bachelors,Exec-managerial,40,Male,>50K
68,HS-grad,Machine-op-inspct,40,Male,>50K
22,Some-college,Protective-serv,40,Male,<=50K
56,Bachelors,Exec-managerial,40,Male,<=50K
37,HS-grad,Craft-repair,40,Male,<=50K
52,1st-4th,Machine-op-inspct,40,Male,<=50K
26,HS-grad,Handlers-cleaners,40,Male,<=50K
33,Masters,Prof-specialty,50,Male,<=50K
45,Masters,Prof-specialty,42,Female,<=50K
18,11th,Other-service,15,Male,<=50K
43,Some-college,Farming-fishing,60,Male,>50K
64,Doctorate,Prof-specialty,50,Male,>50K
18,HS-grad,Handlers-cleaners,20,Male,<=50K
20,Some-college,?,45,Male,<=50K
57,HS-grad,Craft-repair,40,Male,>50K
41,HS-grad,Adm-clerical,42,Female,<=50K
34,Masters,Exec-managerial,50,Male,>50K
19,HS-grad,Sales,40,Female,<=50K
44,9th,Other-service,55,Female,<=50K
56,10th,Other-service,40,Female,<=50K
36,HS-grad,Farming-fishing,80,Male,<=50K
48,Bachelors,Exec-managerial,48,Female,<=50K
29,HS-grad,Transport-moving,40,Male,>50K
33,Bachelors,Craft-repair,40,Male,<=50K
31,5th-6th,Other-service,40,Male,<=50K
39,Masters,Prof-specialty,45,Male,>50K
66,HS-grad,Exec-managerial,40,Male,>50K
27,Bachelors,Prof-specialty,50,Female,>50K
39,HS-grad,Exec-managerial,40,Female,>50K
59,7th-8th,Craft-repair,50,Male,>50K
26,HS-grad,Other-service,40,Female,<=50K
31,Assoc-voc,Craft-repair,40,Male,<=50K
45,HS-grad,?,40,Female,<=50K
23,HS-grad,Handlers-cleaners,30,Male,<=50K
36,HS-grad,Adm-clerical,40,Female,<=50K
34,Some-college,Other-service,12,Female,>50K
32,HS-grad,Transport-moving,84,Male,>50K
37,Bachelors,Prof-specialty,50,Male,>50K
33,Bachelors,Sales,45,Male,<=50K
50,Prof-school,Prof-specialty,80,Male,>50K
32,Assoc-acdm,Protective-serv,40,Male,<=50K
35,Bachelors,Adm-clerical,40,Female,<=50K
37,11th,Craft-repair,40,Male,<=50K
44,Some-college,Craft-repair,60,Male,<=50K
57,Some-college,Handlers-cleaners,25,Male,<=50K
29,Some-college,Exec-managerial,40,Female,<=50K
55,HS-grad,Craft-repair,50,Male,>50K
43,Prof-school,Prof-specialty,25,Male,>50K
43,Some-college,Sales,70,Male,<=50K
45,Some-college,Sales,60,Male,>50K
33,Masters,Prof-specialty,8,Female,<=50K
26,10th,Other-service,40,Female,<=50K
23,Some-college,Sales,68,Male,<=50K
41,7th-8th,Craft-repair,40,Male,<=50K
24,HS-grad,Craft-repair,40,Male,<=50K
47,Bachelors,Sales,44,Male,<=50K
34,HS-grad,Craft-repair,45,Male,<=50K
40,HS-grad,Exec-managerial,40,Male,>50K
28,Bachelors,Prof-specialty,40,Female,<=50K
24,HS-grad,Exec-managerial,40,Female,<=50K
73,Some-college,?,10,Male,<=50K
23,HS-grad,Craft-repair,15,Male,<=50K
43,HS-grad,Exec-managerial,40,Male,>50K
26,Bachelors,Tech-support,40,Female,<=50K
58,Doctorate,Exec-managerial,35,Female,>50K
52,HS-grad,Adm-clerical,35,Female,<=50K
29,11th,Transport-moving,99,Male,>50K
47,11th,Other-service,35,Male,<=50K
49,HS-grad,Adm-clerical,37,Female,<=50K
40,11th,Adm-clerical,40,Female,<=50K
62,HS-grad,Adm-clerical,40,Female,<=50K
49,HS-grad,Exec-managerial,55,Male,>50K
50,Bachelors,Prof-specialty,50,Female,>50K
31,HS-grad,Transport-moving,40,Male,<=50K
48,Masters,Prof-specialty,50,Female,<=50K
24,HS-grad,Craft-repair,40,Female,<=50K
41,HS-grad,?,40,Female,<=50K
37,HS-grad,Machine-op-inspct,60,Male,<=50K
45,Bachelors,Exec-managerial,45,Male,>50K
63,HS-grad,?,16,Male,<=50K
36,Masters,Exec-managerial,45,Male,<=50K
45,Bachelors,Exec-managerial,40,Male,<=50K
41,Bachelors,Sales,40,Female,<=50K
26,Assoc-acdm,Tech-support,20,Female,<=50K
17,11th,Sales,25,Female,<=50K
27,HS-grad,Other-service,36,Male,<=50K
43,HS-grad,Machine-op-inspct,65,Male,<=50K
35,HS-grad,Transport-moving,55,Male,<=50K
38,Bachelors,Adm-clerical,40,Female,<=50K
26,HS-grad,Machine-op-inspct,40,Male,<=50K
28,Some-college,Exec-managerial,40,Female,<=50K
38,Bachelors,Prof-specialty,24,Female,>50K
36,11th,Transport-moving,40,Female,<=50K
33,HS-grad,Adm-clerical,40,Female,>50K
19,HS-grad,Handlers-cleaners,70,Male,<=50K
22,Assoc-acdm,?,25,Male,<=50K
42,10th,Adm-clerical,40,Male,<=50K
50,10th,Transport-moving,40,Male,>50K
30,HS-grad,Handlers-cleaners,30,Male,<=50K
37,Some-college,Prof-specialty,40,Male,<=50K
54,Prof-school,Prof-specialty,40,Male,>50K
52,Bachelors,Exec-managerial,40,Male,<=50K
65,1st-4th,Handlers-cleaners,40,Male,<=50K
33,HS-grad,Craft-repair,40,Female,<=50K
25,Some-college,Tech-support,40,Male,<=50K
24,Bachelors,Sales,45,Male,<=50K
26,Assoc-voc,Adm-clerical,40,Female,<=50K
39,HS-grad,Adm-clerical,40,Male,>50K
59,HS-grad,Other-service,40,Female,<=50K
29,Some-college,Adm-clerical,40,Female,<=50K
47,11th,Other-service,45,Female,<=50K
23,Some-college,?,35,Female,<=50K
64,HS-grad,Transport-moving,50,Male,<=50K
21,HS-grad,Other-service,20,Male,<=50K
32,Some-college,Adm-clerical,40,Female,>50K
26,HS-grad,Exec-managerial,37,Female,<=50K
19,Some-college,?,20,Female,<=50K
62,Masters,Prof-specialty,40,Male,<=50K
32,Bachelors,Craft-repair,55,Male,>50K
75,10th,?,5,Female,<=50K
45,HS-grad,Exec-managerial,60,Male,<=50K
31,Bachelors,Exec-managerial,50,Male,>50K
32,HS-grad,Adm-clerical,40,Male,<=50K
24,Bachelors,Sales,40,Male,<=50K
25,Bachelors,Sales,40,Female,<=50K
41,HS-grad,Exec-managerial,60,Male,<=50K
18,Some-college,Sales,20,Female,<=50K
44,Doctorate,Prof-specialty,55,Male,>50K
40,Some-college,Exec-managerial,50,Male,<=50K
27,Bachelors,Prof-specialty,40,Male,<=50K
23,Bachelors,Adm-clerical,40,Male,<=50K
21,Some-college,Adm-clerical,40,Male,<=50K
37,HS-grad,Transport-moving,40,Male,<=50K
65,HS-grad,Farming-fishing,48,Male,<=50K
43,Masters,Prof-specialty,40,Male,>50K
45,HS-grad,Adm-clerical,44,Male,<=50K
24,Bachelors,Exec-managerial,40,Female,<=50K
24,Some-college,Machine-op-inspct,42,Male,<=50K
19,Some-college,Protective-serv,35,Male,<=50K
37,Bachelors,Prof-specialty,65,Male,>50K
24,HS-grad,Adm-clerical,35,Female,<=50K
34,Some-college,Machine-op-inspct,40,Male,<=50K
50,HS-grad,Other-service,39,Female,<=50K
36,HS-grad,Craft-repair,40,Male,<=50K
39,Bachelors,Sales,60,Male,<=50K
44,7th-8th,Craft-repair,38,Male,<=50K
45,HS-grad,Other-service,40,Male,<=50K
32,11th,Protective-serv,40,Male,<=50K
47,Masters,Exec-managerial,40,Male,>50K
50,HS-grad,Machine-op-inspct,40,Male,<=50K
32,Assoc-voc,Other-service,40,Male,<=50K
19,HS-grad,Handlers-cleaners,40,Male,<=50K
19,Some-college,?,20,Female,<=50K
28,Masters,Prof-specialty,10,Male,<=50K
28,HS-grad,Sales,50,Male,<=50K
39,Masters,Prof-specialty,40,Male,>50K
21,Some-college,Other-service,40,Male,<=50K
73,Some-college,Farming-fishing,75,Female,<=50K
39,7th-8th,Other-service,40,Male,<=50K
25,Some-college,Machine-op-inspct,40,Male,<=50K
31,Some-college,Sales,20,Female,<=50K
51,Some-college,Sales,32,Female,<=50K
39,Bachelors,Adm-clerical,28,Female,<=50K
31,Bachelors,Handlers-cleaners,40,Male,<=50K
21,Some-college,Sales,17,Male,<=50K
46,Bachelors,Exec-managerial,50,Male,>50K
73,HS-grad,Exec-managerial,35,Female,<=50K
41,HS-grad,Craft-repair,40,Male,<=50K
20,HS-grad,Transport-moving,40,Male,<=50K
27,Assoc-acdm,Other-service,30,Male,<=50K
24,Bachelors,Prof-specialty,35,Male,<=50K
20,Some-college,Craft-repair,40,Male,<=50K
39,Assoc-voc,Machine-op-inspct,40,Male,<=50K
27,Bachelors,Handlers-cleaners,28,Male,<=50K
33,11th,Sales,60,Male,<=50K
33,HS-grad,Handlers-cleaners,40,Male,<=50K
36,9th,Craft-repair,40,Male,<=50K
55,Some-college,Exec-managerial,36,Male,<=50K
19,Some-college,Machine-op-inspct,40,Male,<=50K
35,HS-grad,Exec-managerial,60,Male,<=50K
34,5th-6th,Machine-op-inspct,40,Male,<=50K
62,Prof-school,Prof-specialty,35,Female,<=50K
33,Some-college,Craft-repair,40,Male,>50K
39,9th,Craft-repair,55,Male,<=50K
36,Some-college,Tech-support,40,Male,<=50K
41,Bachelors,Adm-clerical,33,Female,<=50K
39,HS-grad,Craft-repair,60,Male,<=50K
38,HS-grad,?,10,Female,>50K
18,HS-grad,Adm-clerical,10,Female,<=50K
61,Some-college,Exec-managerial,45,Male,>50K
20,Assoc-voc,Adm-clerical,36,Female,<=50K
35,HS-grad,Transport-moving,65,Male,>50K
27,HS-grad,Machine-op-inspct,40,Male,<=50K
66,10th,Other-service,38,Female,<=50K
21,HS-grad,Transport-moving,40,Male,<=50K
20,Some-college,Other-service,18,Female,<=50K
34,Some-college,Adm-clerical,40,Male,<=50K
63,5th-6th,Priv-house-serv,50,Female,<=50K
20,HS-grad,?,40,Male,<=50K
31,HS-grad,Tech-support,40,Female,<=50K
41,Doctorate,Prof-specialty,60,Male,<=50K
64,1st-4th,Farming-fishing,45,Male,<=50K
32,Bachelors,Exec-managerial,40,Female,<=50K
30,HS-grad,Transport-moving,50,Male,>50K
36,Bachelors,Farming-fishing,72,Male,<=50K
22,Some-college,Farming-fishing,12,Male,<=50K
53,Some-college,Exec-managerial,50,Male,<=50K
50,HS-grad,Adm-clerical,40,Female,<=50K
36,Bachelors,Exec-managerial,40,Male,<=50K
41,11th,Exec-managerial,40,Male,<=50K
55,Bachelors,Exec-managerial,35,Female,<=50K
38,Bachelors,Sales,50,Male,>50K
28,Bachelors,Exec-managerial,50,Male,<=50K
24,Bachelors,Prof-specialty,37,Female,<=50K
60,Some-college,Adm-clerical,40,Female,<=50K
54,10th,Other-service,40,Male,<=50K
27,HS-grad,Craft-repair,60,Male,<=50K
30,Masters,Prof-specialty,30,Female,<=50K
54,HS-grad,Transport-moving,45,Male,<=50K
44,Some-college,Craft-repair,40,Male,>50K
52,HS-grad,Transport-moving,60,Male,>50K
18,11th,Other-service,20,Male,<=50K
55,7th-8th,Transport-moving,50,Male,<=50K
35,Bachelors,Prof-specialty,50,Male,>50K
37,Bachelors,Exec-managerial,40,Female,>50K
22,Some-college,Adm-clerical,40,Female,<=50K
45,Bachelors,Exec-managerial,45,Male,>50K
38,Bachelors,Farming-fishing,60,Male,<=50K
48,Bachelors,Prof-specialty,40,Male,<=50K
35,Assoc-voc,Other-service,40,Male,<=50K
21,Assoc-voc,Craft-repair,50,Male,<=50K
37,HS-grad,Craft-repair,60,Male,>50K
18,11th,Sales,25,Male,<=50K
26,10th,Machine-op-inspct,35,Male,<=50K
48,Bachelors,Craft-repair,50,Male,<=50K
51,Some-college,Adm-clerical,40,Male,>50K
52,Some-college,Craft-repair,40,Male,<=50K
32,Bachelors,Farming-fishing,40,Male,>50K
39,Bachelors,Other-service,60,Male,<=50K
51,Bachelors,Prof-specialty,40,Male,>50K
54,Bachelors,Sales,50,Male,<=50K
21,Some-college,Prof-specialty,25,Female,<=50K
43,HS-grad,Adm-clerical,40,Female,<=50K
32,Some-college,Adm-clerical,40,Female,<=50K
31,Masters,Prof-specialty,35,Male,>50K
73,HS-grad,?,8,Male,<=50K
26,Some-college,Adm-clerical,60,Male,<=50K
35,HS-grad,Craft-repair,40,Male,<=50K
73,5th-6th,Exec-managerial,54,Male,>50K
25,Bachelors,Sales,40,Female,<=50K
58,Assoc-voc,Farming-fishing,65,Male,<=50K
32,HS-grad,Other-service,37,Female,<=50K
28,Bachelors,Prof-specialty,40,Male,<=50K
41,Masters,Sales,30,Female,<=50K
53,HS-grad,Craft-repair,48,Male,<=50K
49,HS-grad,Adm-clerical,35,Female,<=50K
